HomeTeam,AwayTeam
West Ham,Aston Villa
Southampton,Sheffield United
Newcastle,Liverpool
Man City,Norwich
Leicester,Man United
Everton,Bournemouth
Crystal Palace,Tottenham
Chelsea,Wolves
Burnley,Brighton
Arsenal,Watford
Wolves,Crystal Palace
Watford,Man City
Tottenham,Leicester
Sheffield United,Everton
Norwich,Burnley
Man United,West Ham
Liverpool,Chelsea
Brighton,Newcastle
Aston Villa,Arsenal
Bournemouth,Southampton
West Ham,Watford
Southampton,Brighton
Newcastle,Tottenham
Man City,Bournemouth
Leicester,Sheffield United
Everton,Aston Villa
Crystal Palace,Man United
Chelsea,Norwich
Burnley,Wolves
Arsenal,Liverpool
Wolves,Bournemouth
Wolves,Everton
Wolves,Arsenal
West Ham,Burnley
West Ham,Wolves
West Ham,Chelsea
Watford,Norwich
Watford,Leicester
Watford,Newcastle
Watford,Southampton
Tottenham,Arsenal
Tottenham,West Ham
Tottenham,Everton
Tottenham,Man United
Southampton,Arsenal
Southampton,Man City
Sheffield United,Chelsea
Crystal Palace,Chelsea
Sheffield United,Tottenham
Sheffield United,Wolves
Norwich,West Ham
Norwich,Southampton
Norwich,Brighton
Norwich,Everton
Newcastle,West Ham
Newcastle,Sheffield United
Newcastle,Aston Villa
Man United,Bournemouth
Man United,Southampton
Man United,Sheffield United
Man City,Arsenal
Man City,Newcastle
Man City,Burnley
Man City,Liverpool
Liverpool,Aston Villa
Liverpool,Burnley
Liverpool,Crystal Palace
Leicester,Crystal Palace
Leicester,Brighton
Everton,Southampton
Everton,Liverpool
Everton,Leicester
Chelsea,Watford
Chelsea,Man City
Burnley,Sheffield United
Burnley,Watford
Brighton,Man United
Brighton,Man City
Brighton,Liverpool
Brighton,Arsenal
Aston Villa,Sheffield United
Aston Villa,Wolves
Aston Villa,Crystal Palace
Aston Villa,Man United
Aston Villa,Chelsea
Arsenal,Norwich
Arsenal,Leicester
Bournemouth,Newcastle
Bournemouth,Tottenham
Bournemouth,Leicester
Bournemouth,Crystal Palace
Crystal Palace,Burnley
